Route,Year,Month,MonthStart,Flights,PrimaryEquipment,DistinctAircraft,FuelBurnKg,AvgFuelBurnKg,AvgDistanceNM,AvgTripTimeSec,AvgTOW_kg,MaxTOW_kg,TotalTOW_kg,AvgFuelPerNM,AvgFuelPerHour
CNF -> GNM,2025,4,2025-04-01,19,ATR,1,18922,995.8947368421053,360.94736842105266,5580.0,21566.36842105263,22917,409761,2.7584809050628634,642.8097974120946
CNF -> GNM,2025,5,2025-05-01,24,ATR,1,24178,1007.4166666666666,360.4583333333333,5715.0,21372.0,22634,512928,2.795094579811472,634.6612272282867
CNF -> GNM,2025,6,2025-06-01,24,ATR,1,24617,1025.7083333333333,361.4583333333333,5655.0,21984.125,22998,527619,2.8380137745776195,652.9653878053964
CNF -> GNM,2025,7,2025-07-01,29,ATR,1,28643,987.6896551724138,362.51724137931035,5613.103448275862,21545.0,22957,624805,2.722999278121161,633.8411777814183
CNF -> GNM,2025,8,2025-08-01,29,ATR,1,28452,981.1034482758621,359.41379310344826,5538.620689655172,21541.344827586207,22701,624699,2.7300307558234334,637.8717918615466
CNF -> GNM,2025,9,2025-09-01,29,ATR,1,28989,999.6206896551724,360.6896551724138,5567.586206896552,21633.206896551725,22556,627363,2.7712612792639324,647.1216709146574
CNF -> GNM,2025,10,2025-10-01,27,ATR,1,26636,986.5185185185185,360.51851851851853,5591.111111111111,21166.444444444445,22727,571494,2.736549389883454,636.2184998148281
CNF -> GNM,2025,11,2025-11-01,9,ATR,1,8724,969.3333333333334,358.0,5346.666666666667,20885.11111111111,21991,187966,2.708607830034967,653.0591420961603
CNF -> GRU,2024,1,2024-01-01,50,E2,4,88212,1764.24,308.608,3338.4,52644.32,67285,2632216,5.7129071154262485,1933.8992653415792
CNF -> GRU,2024,2,2024-02-01,39,E2,4,68329,1752.025641025641,307.85641025641024,3287.6923076923076,49099.794871794875,67885,1914892,5.680020196036186,1930.9253723496379
CNF -> GRU,2024,3,2024-03-01,28,E2,3,50752,1812.5714285714287,309.2035714285715,3280.714285714286,54204.25,69329,1517719,5.861855730735224,1992.5112916867579
CNF -> GRU,2024,4,2024-04-01,40,E2,3,70073,1751.825,300.1375,3184.5,51823.325,63751,2072933,5.837138950485761,1986.9503228303493
CNF -> GRU,2024,5,2024-05-01,54,E1,3,102144,1891.5555555555557,304.19814814814816,3221.1111111111113,50257.11111111111,68571,2713884,6.214808648438268,2118.0127367628106
