Route,ActiveMonths,TotalFlights,AvgFlightsPerMonth,StdFlightsPerMonth,CoeffVarFlights,PeakMonth,PeakFlights,TroughMonth,TroughFlights,PeakMinusTrough,PeakToTroughRatio,SeasonalityIndex,AvgMonthlyTOW_kg,PeakMonthAvgTOW_kg,TroughMonthAvgTOW_kg,PeakMonthTotalTOW_kg,TroughMonthTotalTOW_kg,VolatilityScore
MII -> VCP,23,608,26.434782608695652,9.65863473544481,0.3653759850579451,2024-06-01,49,2025-11-01,10,39,4.9,0.2780320366132723,19570.67493481518,19555.102040816328,19577.4,958200,195774,14.630309286077617
VIX -> CNF,23,1999,86.91304347826087,18.74059310341257,0.21562463300574744,2025-09-01,123,2025-11-01,44,79,2.7954545454545454,0.1870500467625117,45340.67076680297,43577.89430894309,43332.545454545456,5360081,1906632,14.567233386851676
VCP -> BRC,6,59,9.833333333333334,7.776388764858803,0.7908191964263189,2025-07-01,21,2024-06-01,1,20,21.0,0.6949152542372881,73996.40116959064,73336.0,74900.0,1540056,74900,14.480267635733156
JPA -> CNF,23,512,22.26086956521739,8.693912869530427,0.3905468671859372,2025-01-01,42,2024-03-01,7,35,6.0,0.3169157608695653,62854.86316595566,66500.73809523809,62641.857142857145,2793031,438493,14.418197435983924
VCP -> CGR,23,1385,60.21739130434783,14.148149431114367,0.23495121798962487,2024-08-01,91,2025-11-01,20,71,4.55,0.17579657824517345,56459.22648538628,58959.91208791209,58596.95,5365352,1171939,14.32174762560532
CNF -> CGB,23,721,31.347826086956523,11.277560234346765,0.3597557356310341,2025-07-01,47,2025-08-01,11,36,4.2727272727272725,0.3203280467949104,59858.027500521384,65664.8085106383,53664.454545454544,3086246,590309,14.207527774706088
NAT -> CNF,23,785,34.130434782608695,11.17957900671961,0.3275545441459249,2025-01-01,56,2025-11-01,14,42,4.0,0.281362503461645,66110.59958560375,66346.10714285714,68199.28571428571,3715382,954790,14.152589645793329
SSA -> REC,23,1929,83.8695652173913,17.98865426927928,0.2144836952791205,2024-07-01,109,2025-11-01,34,75,3.2058823529411766,0.17697838483557599,47050.062388616665,41758.064220183485,51058.029411764706,4551629,1735973,14.052372405948725
CNF -> AJU,23,382,16.608695652173914,7.545451439715953,0.45430728563734796,2025-01-01,31,2024-02-01,4,27,7.75,0.404734805372183,63555.23689124134,64927.51612903226,63491.5,2012753,253966,14.041228219760848
SSA -> VCP,23,2267,98.56521739130434,18.47872122188706,0.18747710106016868,2025-09-01,124,2025-11-01,31,93,4.0,0.12661820831974838,61980.00985258789,62727.01612903226,61284.290322580644,7778150,1899813,13.969509258173755
VCP -> VIX,23,1772,77.04347826086956,16.17695156124122,0.20997171891001587,2024-07-01,100,2025-11-01,21,79,4.761904761904762,0.14839532829522034,62726.701279673885,60735.83,65828.23809523809,6073583,1382393,13.96049489392575
REC -> PNZ,23,841,36.56521739130435,11.270685666254897,0.30823516090827896,2024-07-01,55,2025-11-01,10,45,5.5,0.26821072222509434,35660.621785668634,40757.72727272727,51401.4,2241675,514014,13.927601424180866
SJP -> VCP,23,2464,107.1304347826087,20.044091285541928,0.18709987807121117,2025-10-01,141,2025-11-01,51,90,2.764705882352941,0.144233483907397,21217.867165990385,22759.55319148936,23179.058823529413,3209097,1182132,13.862541224902555
VDC -> CNF,23,590,25.652173913043477,9.849337632340623,0.38395722973531243,2025-07-01,41,2025-01-01,9,32,4.555555555555555,0.3497420781134857,39804.21428674608,38652.07317073171,21924.333333333332,1584735,197319,13.861241124639957
VCP -> JPA,23,562,24.434782608695652,8.34488172712457,0.34151651196417276,2025-01-01,51,2025-11-01,10,41,5.1,0.23874361751508588,66672.106475486,62091.450980392154,67753.2,3166664,677532,13.849442708812793
CNF -> SJP,16,636,39.75,12.371843031658623,0.31124133412977667,2025-09-01,54,2025-11-01,7,47,7.714285714285714,0.2452830188679245,21917.977237461277,22173.777777777777,25139.714285714286,1197384,175978,13.777216733995735
VCP -> SJP,23,2471,107.43478260869566,20.258816839473862,0.18856850963492466,2025-10-01,137,2025-11-01,50,87,2.74,0.1486460331145637,21826.11363790361,23114.554744525547,23579.96,3166694,1178998,13.7415128013909
VCP -> BSB,23,1866,81.1304347826087,16.59309533674903,0.20452368314320882,2025-10-01,109,2025-11-01,32,77,3.40625,0.14502073721981457,53803.200303962876,54168.35779816514,56491.53125,5904351,1807729,13.517748477009953
REC -> CPV,23,998,43.391304347826086,11.239445794919677,0.2590253038909344,2024-07-01,69,2025-11-01,13,56,5.3076923076923075,0.19055502308965755,20307.59013187243,19427.347826086956,20464.46153846154,1340487,266038,13.387831640966699
CNF -> NAT,23,756,32.869565217391305,10.899957510192758,0.3316124639344358,2025-01-01,53,2025-11-01,16,37,3.3125,0.290200138026225,66447.0365431857,66477.92452830188,67342.9375,3523330,1077487,13.37222034528409
FLN -> CNF,23,777,33.78260869565217,10.818488690317752,0.32023840396049974,2025-09-01,53,2025-11-01,14,39,3.7857142857142856,0.27497062279670975,53027.0276198905,51260.16981132075,58106.07142857143,2716789,813485,13.312708771370906
VCP -> SSA,23,2177,94.65217391304348,17.726444739433486,0.18727984795910435,2025-09-01,115,2025-11-01,32,83,3.59375,0.13672584929400253,63485.98073600998,63755.1652173913,62631.0,7331844,2004192,13.114134853388096
VCP -> VCP,23,124,5.391304347826087,3.632451925948769,0.6737612443292071,2024-05-01,17,2024-06-01,1,16,17.0,0.4817671809256661,39986.7771155954,50249.05882352941,50062.0,854234,50062,13.012522686626413
MAO -> CNF,18,400,22.22222222222222,8.663817195385745,0.38987177379235854,2025-03-01,32,2024-06-01,1,31,32.0,0.27166666666666667,69527.02911814493,68063.28125,68359.0,2178025,68359,13.011176993865227
CGB -> VCP,23,2182,94.8695652173913,17.614974725885155,0.18567571892546222,2025-09-01,122,2025-11-01,39,83,3.128205128205128,0.13892320567488942,60704.98199062511,60476.270491803276,60472.05128205128,7378105,2358410,13.00568578413243
AJU -> CNF,23,519,22.565217391304348,8.020766996591446,0.35544824840385986,2025-01-01,41,2025-11-01,7,34,5.857142857142857,0.2898550724637682,58919.40335583754,60622.85365853659,65139.857142857145,2485537,455979,12.961695835828257
SSA -> CNF,23,2180,94.78260869565217,16.92684135957144,0.17858594094960695,2025-01-01,119,2025-11-01,31,88,3.838709677419355,0.10829676904666935,58086.25784152544,59838.82352941176,58051.290322580644,7120820,1799590,12.878815490082857
CNF -> BRA,23,613,26.652173913043477,8.750695354493011,0.32832951574769864,2024-06-01,44,2025-11-01,7,37,6.285714285714286,0.23221505071281648,22206.534105172334,22387.75,22466.0,985061,157262,12.821695926545058
XAP -> VCP,23,1016,44.17391304347826,11.02034550832565,0.24947632548374998,2024-08-01,70,2025-11-01,16,54,4.375,0.19573776104073945,53839.247423836125,58063.08571428571,51296.4375,4064416,820743,12.69467794220931
VCP -> PET,16,131,8.1875,4.876201774947382,0.5955666290012069,2024-09-01,20,2025-08-01,1,19,20.0,0.4685114503816794,46647.778229368676,47295.25,47014.0,945905,47014,12.6758258121743
CNF -> THE,23,327,14.217391304347826,6.6001088379638,0.4642278387558636,2025-03-01,23,2024-01-01,1,22,23.0,0.4135088419093206,65898.40654176124,69818.47826086957,52057.0,1605825,52057,12.613832792277618
