Route,Year,Month,MonthStart,Flights,PrimaryAircraft,DistinctAircraft,AvgTOW_kg,MedianTOW_kg,AvgPassengers,TotalPassengerProxy,AvgPayloadKg,TotalPayloadKg,ExactLoadJoinShare,FuelBurnKg,AvgFuelBurnKg,AvgDistanceNM,AvgFuelPerNM,FuelPerFlightKg,FuelPerPassengerProxy,FuelPerPassengerNMProxy,TowRegime,TowRegimeRank,MedianMonthlyFlights,AvgMonthlyFlights,MedianRouteTOW_kg,MedianRoutePassengers,MedianRoutePayloadKg,MedianTowRegimeRank,MedianFuelPerNM,MedianFuelPerPassengerProxy,MedianFuelPerPassengerNMProxy,FlightsPctVsMedian,TowPctVsMedian,PassengerPctVsMedian,PayloadPctVsMedian,RegimeShiftVsMedian,FuelPerNMPctVsMedian,FuelPerPassengerPctVsMedian,FuelPerPassengerNMPctVsMedian
MII -> VCP,2024,5,2024-05-01,42,ATR,1,19765.52380952381,20211.0,43.0,1806.0,3544.0,148848.0,0.5952380952380952,21227,505.4047619047619,181.8095238095238,2.7804487824280106,505.4047619047619,11.75359911406423,0.06464787359752458,ATR,0,25.0,26.434782608695652,19555.102040816328,43.0,3544.0,0.0,2.8639768906287837,11.95298281092012,0.06661763889659766,0.68,0.010760453628330823,0.0,0.0,0.0,-0.029165077579391546,-0.01668066456798854,-0.02956822444773985
MII -> VCP,2024,6,2024-06-01,49,ATR,1,19555.102040816328,19585.0,43.0,2107.0,3544.0,173656.0,0.5918367346938775,25590,522.2448979591836,181.28571428571428,2.8834786434770523,522.2448979591836,12.145230185097295,0.06699496556003236,ATR,0,25.0,26.434782608695652,19555.102040816328,43.0,3544.0,0.0,2.8639768906287837,11.95298281092012,0.06661763889659766,0.96,0.0,0.0,0.0,0.0,0.006809326189774881,0.016083631777796873,0.005664065398960941
MII -> VCP,2024,7,2024-07-01,42,ATR,1,18945.428571428572,18851.5,43.0,1806.0,3544.0,148848.0,0.5,20237,481.8333333333333,173.3095238095238,2.781773749180075,481.8333333333333,11.205426356589147,0.06465557177864324,ATR,0,25.0,26.434782608695652,19555.102040816328,43.0,3544.0,0.0,2.8639768906287837,11.95298281092012,0.06661763889659766,0.68,-0.031177207263619288,0.0,0.0,0.0,-0.02870244579056674,-0.06254141465409072,-0.029452666747914864
MII -> VCP,2024,8,2024-08-01,27,ATR,1,19724.88888888889,19991.0,43.0,1161.0,3544.0,95688.0,0.9259259259259259,13904,514.9629629629629,180.7037037037037,2.854270336479765,514.9629629629629,11.97588285960379,0.06627358827819273,ATR,0,25.0,26.434782608695652,19555.102040816328,43.0,3544.0,0.0,2.8639768906287837,11.95298281092012,0.06661763889659766,0.08,0.008682483360003736,0.0,0.0,0.0,-0.00338918731529555,0.0019158438563759437,-0.005164557377047904
MII -> VCP,2024,9,2024-09-01,21,ATR,1,19525.285714285714,19782.0,43.0,903.0,3544.0,74424.0,0.9523809523809523,10833,515.8571428571429,182.38095238095238,2.828391387579951,515.8571428571429,11.996677740863788,0.06577812860525836,ATR,0,25.0,26.434782608695652,19555.102040816328,43.0,3544.0,0.0,2.8639768906287837,11.95298281092012,0.06661763889659766,-0.16,-0.0015247338760176162,0.0,0.0,0.0,-0.012425206071065679,0.003655567035848832,-0.012601922032126803
MII -> VCP,2024,10,2024-10-01,21,ATR,1,20139.190476190477,19991.0,43.0,903.0,3544.0,74424.0,1.0,11108,528.952380952381,181.0,2.931710401743978,528.952380952381,12.301218161683279,0.06796253128001811,ATR,0,25.0,26.434782608695652,19555.102040816328,43.0,3544.0,0.0,2.8639768906287837,11.95298281092012,0.06661763889659766,-0.16,0.02986885131844429,0.0,0.0,0.0,0.023650159795920483,0.029133761528127834,0.020188232511631925
MII -> VCP,2024,11,2024-11-01,18,ATR,1,19756.944444444445,19698.5,43.0,774.0,3544.0,63792.0,1.0,9291,516.1666666666666,178.61111111111111,2.8905636657607765,516.1666666666666,12.003875968992247,0.06720677058844804,ATR,0,25.0,26.434782608695652,19555.102040816328,43.0,3544.0,0.0,2.8639768906287837,11.95298281092012,0.06661763889659766,-0.28,0.010321725921287583,0.0,0.0,0.0,0.009283166780775143,0.0042577789056661985,0.008843479018594634
MII -> VCP,2024,12,2024-12-01,17,ATR,1,19933.764705882353,20313.0,43.0,731.0,3544.0,60248.0,1.0,8937,525.7058823529412,187.76470588235293,2.8000971297169137,525.7058823529412,12.225718194254446,0.06511190767616716,ATR,0,25.0,26.434782608695652,19555.102040816328,43.0,3544.0,0.0,2.8639768906287837,11.95298281092012,0.06661763889659766,-0.32,0.01936388080592282,0.0,0.0,0.0,-0.022304565766885512,0.022817349246512502,-0.02260259062569996
MII -> VCP,2025,1,2025-01-01,26,ATR,1,19216.96153846154,19158.5,43.0,1118.0,3544.0,92144.0,1.0,12998,499.9230769230769,182.57692307692307,2.740888757602636,499.9230769230769,11.626118067978533,0.06367791652990139,ATR,0,25.0,26.434782608695652,19555.102040816328,43.0,3544.0,0.0,2.8639768906287837,11.95298281092012,0.06661763889659766,0.04,-0.017291676701507663,0.0,0.0,0.0,-0.04297804686514898,-0.02734587241629492,-0.0441282881739361
MII -> VCP,2025,2,2025-02-01,20,ATR,1,19199.85,19064.0,43.0,860.0,3544.0,70880.0,1.0,11142,557.1,191.15,2.915563274813157,557.1,12.955813953488372,0.06777825766930877,ATR,0,25.0,26.434782608695652,19555.102040816328,43.0,3544.0,0.0,2.8639768906287837,11.95298281092012,0.06661763889659766,-0.2,-0.01816671884783983,0.0,0.0,0.0,0.018012150989475118,0.08389798248953181,0.017422094087011862
MII -> VCP,2025,3,2025-03-01,22,ATR,1,19530.227272727272,19562.0,43.0,946.0,3544.0,77968.0,1.0,11638,529.0,180.45454545454547,2.940718614097054,529.0,12.30232558139535,0.06817409642083065,ATR,0,25.0,26.434782608695652,19555.102040816328,43.0,3544.0,0.0,2.8639768906287837,11.95298281092012,0.06661763889659766,-0.12,-0.0012720346862489286,0.0,0.0,0.0,0.026795510717763427,0.029226409508099738,0.023364045169011236
MII -> VCP,2025,4,2025-04-01,19,ATR,1,19561.0,19607.0,43.0,817.0,3544.0,67336.0,1.0,9602,505.36842105263156,176.42105263157896,2.8639768906287837,505.36842105263156,11.752753977968176,0.06661763889659766,ATR,0,25.0,26.434782608695652,19555.102040816328,43.0,3544.0,0.0,2.8639768906287837,11.95298281092012,0.06661763889659766,-0.24,0.00030160718012935237,0.0,0.0,0.0,0.0,-0.016751369605335485,0.0
MII -> VCP,2025,5,2025-05-01,25,ATR,1,19297.24,19288.0,43.0,1075.0,3544.0,88600.0,1.0,12339,493.56,176.0,2.8063713540412203,493.56,11.47813953488372,0.06521670190274842,ATR,0,25.0,26.434782608695652,19555.102040816328,43.0,3544.0,0.0,2.8639768906287837,11.95298281092012,0.06661763889659766,0.0,-0.013186432895011454,0.0,0.0,0.0,-0.020113827306377514,-0.039725923106204826,-0.021029520365075473
MII -> VCP,2025,6,2025-06-01,18,ATR,1,19376.38888888889,19066.5,43.0,774.0,3544.0,63792.0,1.0,8861,492.27777777777777,182.5,2.6960055964314824,492.27777777777777,11.448320413436692,0.06273052281335174,ATR,0,25.0,26.434782608695652,19555.102040816328,43.0,3544.0,0.0,2.8639768906287837,11.95298281092012,0.06661763889659766,-0.28,-0.009138952665878126,0.0,0.0,0.0,-0.05864966814045183,-0.04222062438024881,-0.05834965254892042
MII -> VCP,2025,7,2025-07-01,25,ATR,1,19042.96,19011.0,43.0,1075.0,3544.0,88600.0,1.0,11958,478.32,174.28,2.7483781161103154,478.32,11.123720930232558,0.06382672096759558,ATR,0,25.0,26.434782608695652,19555.102040816328,43.0,3544.0,0.0,2.8639768906287837,11.95298281092012,0.06661763889659766,0.0,-0.026189689000208825,0.0,0.0,0.0,-0.040363026285833166,-0.0693769826164192,-0.041894578901754305
MII -> VCP,2025,8,2025-08-01,30,ATR,1,19127.966666666667,19128.0,43.0,1290.0,3544.0,106320.0,1.0,14598,486.6,171.83333333333334,2.835261525088868,486.6,11.316279069767441,0.06585613425664855,ATR,0,25.0,26.434782608695652,19555.102040816328,43.0,3544.0,0.0,2.8639768906287837,11.95298281092012,0.06661763889659766,0.2,-0.021842656369581884,0.0,0.0,0.0,-0.010026395685619964,-0.053267351858901156,-0.011430976128275986
MII -> VCP,2025,9,2025-09-01,29,ATR,1,19505.55172413793,19474.0,43.0,1247.0,3544.0,102776.0,1.0,14361,495.2068965517241,169.44827586206895,2.92828356067596,495.2068965517241,11.516439454691259,0.06796433540619588,ATR,0,25.0,26.434782608695652,19555.102040816328,43.0,3544.0,0.0,2.8639768906287837,11.95298281092012,0.06661763889659766,0.16,-0.002533881775455466,0.0,0.0,0.0,0.022453627421922976,-0.03652170869266543,0.020215314320709114
MII -> VCP,2025,10,2025-10-01,31,ATR,1,19313.41935483871,19441.0,43.0,1333.0,3544.0,109864.0,1.0,15153,488.80645161290323,168.5483870967742,2.900219911002803,488.80645161290323,11.367591897974494,0.06744408590185823,ATR,0,25.0,26.434782608695652,19555.102040816328,43.0,3544.0,0.0,2.8639768906287837,11.95298281092012,0.06661763889659766,0.24,-0.012359060334902257,0.0,0.0,0.0,0.012654787995185967,-0.04897446287723428,0.012405828530539119
MII -> VCP,2025,11,2025-11-01,10,ATR,1,19577.4,19686.0,43.0,430.0,3544.0,35440.0,1.0,5092,509.2,180.0,2.8347818212707034,509.2,11.841860465116278,0.06578811369509044,ATR,0,25.0,26.434782608695652,19555.102040816328,43.0,3544.0,0.0,2.8639768906287837,11.95298281092012,0.06661763889659766,-0.6,0.0011402629931121025,0.0,0.0,0.0,-0.010193891387046248,-0.00929662056422621,-0.012452035455576485
MOC -> CNF,2024,1,2024-01-01,69,ATR,1,20091.898550724636,20037.0,55.17391304347826,3807.0,4588.95652173913,316638.0,1.0,39244,568.7536231884058,201.08695652173913,2.829147640910061,568.7536231884058,10.308379301287102,0.051263291660454784,ATR,0,101.0,97.56521739130434,20665.953125,55.71754563894523,4625.989858012171,0.0,2.9517961221974693,10.33604586646939,0.053087123761639925,-0.31683168316831684,-0.027777793301046398,-0.00975693723104321,-0.008005494480040709,0.0,-0.041550458165146784,-0.00267670688962789,-0.034355451415565647
MOC -> CNF,2024,2,2024-02-01,77,ATR,2,19973.48051948052,19764.0,56.79220779220779,4373.0,4712.8441558441555,362889.0,1.0,44763,581.3376623376623,201.8,2.8780425939401204,581.3376623376623,10.236222273039104,0.050724590054703186,ATR,0,101.0,97.56521739130434,20665.953125,55.71754563894523,4625.989858012171,0.0,2.9517961221974693,10.33604586646939,0.053087123761639925,-0.2376237623762376,-0.03350789587738797,0.019287679328634948,0.01877528928896242,0.0,-0.024985983179096734,-0.009657812544555288,-0.044502951742958714
