Route,Recommendation,Months,TotalFlights,AvgPriorityScore,MaxPriorityScore,AvgPassengers,AvgTOW_kg,E2FuelAdvantage,AvgFuelPerNM,EstimatedFuelSavedKg
CNF -> AAX,Maintain current aircraft assignment,23,282,3.6356705865265213,26.975484643804254,43.42414933837429,20454.386506775038,,2.980279867064828,2426.607204674644
CNF -> PLU,Maintain current aircraft assignment,21,38,12.390633153519744,49.753830664368664,0.0,20958.119047619046,,5.315899738298035,2425.5570855901065
VCP -> MDZ,Maintain current aircraft assignment,4,27,7.749456163364744,20.191280573435414,131.0,67913.1393939394,,5.661804415057705,2337.762488050106
CFB -> CNF,Maintain current aircraft assignment,13,188,18.6159686429573,83.86304397739806,54.790614534912784,22826.974002099265,0.10616706267824574,3.3039722013766446,2322.643443869092
VCP -> GPB,Maintain current aircraft assignment,15,188,2.4637690172531754,8.547749710190796,42.0,20845.054592422828,,2.8865343482174044,2272.3579666798973
QNS -> VCP,Maintain current aircraft assignment,5,337,16.197607833304243,23.79767680576647,108.2601969979385,62770.56857401422,0.18022648295302662,5.604026926915383,2195.9986680278075
CNF -> EZE,Maintain current aircraft assignment,2,9,2.7706043806936695,5.541208761387339,114.50882463387157,65831.1,,5.619490074253189,2170.3487711371477
BRC -> CNF,Maintain current aircraft assignment,3,15,4.129503060393682,12.388509181181046,135.0,68424.06944444444,,4.359911688172683,2121.454307962934
NVT -> CNF,Maintain current aircraft assignment,6,30,28.96540400989231,54.47323945398689,114.42162698412699,53044.46130952381,0.19191317944870154,4.694060048468451,2107.3135683136315
VCP -> QNS,Current seasonal downgauge appears effective,2,53,11.39744902440086,11.39744902440086,62.72151276970854,37970.9,0.18995748374001434,4.7075309451033105,2033.392061414876
MVD -> VCP,Maintain current aircraft assignment,8,10,87.70263669042379,584.7179487179487,7.208333333333333,53702.75,,4.193999405211258,2030.0001158075384
CNF -> CLV,Maintain current aircraft assignment,16,103,1.2791485502053292,10.105093160517944,60.052083333333336,21556.768601190477,,2.837790476258667,2019.2843086940823
REC -> PNZ,Current seasonal downgauge appears effective,1,21,10.284085162867383,10.284085162867383,68.71428571428571,25156.285714285714,0.17140141938112305,3.0372999653706123,1939.5733736923144
CNF -> BPS,Maintain current aircraft assignment,20,1281,17.623818784196793,33.19214635660928,136.0240521818478,59330.76236768145,0.19244676774263178,5.726764083611352,1923.3048049515214
VCP -> CAW,Maintain current aircraft assignment,15,338,2.4671040206783217,14.722391215487189,29.0,20455.620099048294,,2.654471612666015,1873.80728285405
VCP -> VCP,Review smaller aircraft,3,7,14.592314115735226,17.09015409333784,0.0,53761.88888888888,0.1592554728494615,6.317456304274671,1853.4399609295428
VCP -> ASU,Maintain current aircraft assignment,9,50,9.558554029822123,35.1162581989529,103.55555555555556,53780.624691358025,,4.955625127122058,1847.3470989924544
UNA -> CNF,Maintain current aircraft assignment,21,67,6.496190637242323,23.651328740619583,92.7484126984127,47482.55952380953,,6.07081778799557,1826.138568725789
PNZ -> REC,Current seasonal downgauge appears effective,3,70,13.842927311739645,13.842927311739645,66.36507936507937,22598.129452672933,0.23071545519566075,2.9328368937896143,1807.800362231757
EEA -> VCP,Maintain current aircraft assignment,15,221,5.1626370250748,17.591300764305927,37.0,20279.842348360275,,2.656648251625043,1768.267687889876
CKS -> CNF,Current seasonal downgauge appears effective,1,13,14.599000852764792,14.599000852764792,115.76923076923077,55054.692307692305,0.24331668087941322,4.465568047757067,1737.9672598404086
REC -> NSR,Maintain current aircraft assignment,15,123,5.130731125747952,22.12795492139392,37.0,20897.842614977617,,2.566684812045327,1720.160552237125
CFB -> CNF,High-priority larger-aircraft review,1,29,26.845642241657657,26.845642241657657,51.241379310344826,22848.689655172413,0.10616706267824574,3.1215427741350434,1711.8287558931893
PMW -> REC,Maintain current aircraft assignment,2,15,6.231216749333324,11.666666666666666,119.0,63251.4,,5.0477171350259695,1606.6598551778302
CNF -> THE,Current seasonal downgauge appears effective,2,4,13.444949955468427,13.444949955468427,124.0,56368.83333333333,0.22408249925780713,4.4956244542760375,1597.0860728128544
PDP -> VCP,Maintain current aircraft assignment,5,26,28.8673374958166,77.34664921336385,108.1209090909091,54127.18363636364,0.21968511636499372,4.322306256188569,1547.31494169484
GEL -> VCP,Maintain current aircraft assignment,10,102,4.805991349436832,17.5,52.485416666666666,21787.370476190474,,2.6385795774793017,1534.7282834937569
LEC -> CNF,Maintain current aircraft assignment,14,85,5.792370807095469,23.333333333333332,63.0,21159.95977891156,,2.670053504434263,1519.073942476529
VCP -> PGZ,Maintain current aircraft assignment,15,196,9.651599625984117,28.636363636363637,28.0,19931.285366699576,,2.8889527684514205,1495.7042259077784
CNF -> BRC,Maintain current aircraft assignment,3,16,9.382585389963522,28.0,145.0,74405.36666666667,,5.66761032249178,1413.7313139881032
REC -> PPB,Maintain current aircraft assignment,6,20,0.3655247147281497,1.2835995323995069,145.0,70336.68055555555,,5.481519412569199,1383.9184849676453
PPB -> REC,Maintain current aircraft assignment,6,19,6.117232999532642,23.333333333333332,137.0,63964.65555555556,,4.504175746365099,1328.6250299042285
NSR -> REC,Maintain current aircraft assignment,15,95,16.649672343581532,63.0,44.0,19900.78088023088,,2.648418418436939,1325.4744046579199
REC -> MVF,Maintain current aircraft assignment,15,283,3.28174644688103,16.666666666666664,43.0,21481.987588780525,,2.8673959122700015,1290.431560775198
CLV -> CNF,Maintain current aircraft assignment,16,104,1.5919097017131358,10.0,58.989583333333336,21068.79228670635,,2.7638234654928673,1282.133599108893
MVF -> REC,Maintain current aircraft assignment,15,281,3.1562015254810087,16.666666666666664,50.0,20482.165424976403,,2.946855907188485,1279.4967800700167
VCP -> PPB,Current seasonal downgauge appears effective,1,23,13.43496346113031,13.43496346113031,62.04347826086956,21625.82608695652,0.22391605768550518,3.1809248926756877,1274.7817029061523
MVD -> VCP,Strong review for larger aircraft,2,23,2202.0521693660976,2534.153846153846,113.0,54517.09523809524,,4.209944325172033,1241.3300662537408
CNF -> SSA,Maintain current aircraft assignment,23,1992,15.446092894147599,23.00526151255903,134.38576978754224,61161.42790139338,0.21441575556128403,5.355780887745334,1202.3734715923817
CNF -> CNF,Strong review for larger aircraft,2,6,45.13750083040655,47.57351978775252,1.0833333333333335,25876.0,0.2866913645510097,3.627951070094416,1142.2973291962433
REC -> NVT,Maintain current aircraft assignment,3,14,15.132576374770407,45.336452217375566,121.61111111111113,63057.02777777778,,4.8474587807681395,1128.603252197596
EZE -> CNF,Maintain current aircraft assignment,2,11,2.5481405978592377,5.0962811957184755,114.50882463387157,61729.583333333336,,4.486282338870929,1110.6983935587489
VCP -> BVB,Maintain current aircraft assignment,16,49,7.665178935661226,46.666666666666664,157.0,74258.89925595238,,5.210396356366031,1091.0914343530628
REC -> LDB,Maintain current aircraft assignment,2,4,9.564459807514654,19.128919615029307,121.0,65966.33333333334,,5.108382278131051,1043.6428561714902
VIX -> VCP,Maintain current aircraft assignment,23,1809,8.116533960773856,15.209365560358211,128.80014428598778,60800.94002428765,0.08079658285929711,6.119120299022208,1036.0812046779606
PNZ -> VCP,Current seasonal downgauge appears effective,1,5,15.664288771136134,15.664288771136134,107.0,48352.0,0.20536404350607795,5.849366922095802,1025.8075860842162
GRU -> VCP,High-priority larger-aircraft review,2,11,418.9877009073163,682.0151341408988,1.783934294871795,44430.03333333333,0.28020050823744475,8.37720130983285,1022.9544634373968
ASU -> REC,Maintain current aircraft assignment,5,11,11.10665160914569,52.5,108.0,56211.96,,3.76271708381462,1022.3747832601862
AAX -> CNF,Maintain current aircraft assignment,18,137,7.028174009931487,25.0,38.738425925925924,19362.65225869809,,2.7917346368612583,1014.2977533988121
VCP -> UBA,Review smaller aircraft,2,3,21.697539554853616,30.08680204056248,39.5,36186.0,,6.1519955382111435,1004.9760356880452
TJL -> VCP,Maintain current aircraft assignment,15,261,2.622867942454626,12.894736842105262,43.0,19884.28784023682,,2.699542088617059,962.1002510031572
VCP -> UNA,Maintain current aircraft assignment,4,13,6.560468524283786,12.173201346548588,43.64285714285714,54643.0,,4.808738504203575,949.1899719993544
ASU -> VCP,Maintain current aircraft assignment,8,26,6.605172443757778,35.08419323606407,104.0,51544.580357142855,,4.090498161893661,933.4099548609153
NVT -> CNF,Review larger aircraft,1,6,28.716486148285483,28.716486148285483,125.0,49717.0,0.1919131794487015,4.848280177418598,928.3255073107221
GPB -> VCP,Maintain current aircraft assignment,15,190,2.695833016584392,7.5,41.0,19818.78673740203,,2.6278216671561365,888.2558334238839
MVD -> REC,High-priority larger-aircraft review,1,9,19.339371155007793,19.339371155007793,134.0,71371.66666666667,,4.6209214898054745,884.6522664961384
GRU -> VCP,Maintain current aircraft assignment,14,44,154.4112838544854,719.4435432714357,0.6952800671550671,46702.139285714286,0.28020050823744475,8.06896992307409,859.9076496124684
REC -> JTC,Maintain current aircraft assignment,7,16,12.609245639707243,35.0,145.42857142857142,68395.25,,5.253079075530772,859.492750982545
CGB -> CNF,Current seasonal downgauge appears effective,1,15,14.681046646744502,14.681046646744502,110.0,46872.13333333333,0.20262374866475805,5.500010203907125,847.3811651420062
VCP -> CGH,Maintain current aircraft assignment,14,55,236.4201986245309,1623.3709132642093,1.0341866466866467,40263.33409090909,0.37723916913064326,8.082194832522148,846.6142528879226
CNF -> NVT,Maintain current aircraft assignment,7,18,20.41131946358029,38.16199209284395,116.64761904761905,51286.219047619044,0.2147422442440485,5.0181722993946085,842.5788525045348
VCP -> BYO,Strong review for larger aircraft,1,6,33.72729325411448,33.72729325411448,107.16666666666667,51621.833333333336,0.19411899485231796,5.150589260997564,841.8770992174223
CNF -> LEC,Maintain current aircraft assignment,14,85,5.257784679747891,23.333333333333332,51.0,22030.60892857143,,2.7322093187407583,803.6308394747174
RAO -> CNF,Review smaller aircraft,3,19,22.132132694371823,33.08595404882284,35.536904761904765,38765.200000000004,0.18473652895814474,4.533252317676051,797.1821530020922
CNF -> POJ,Maintain current aircraft assignment,21,192,2.5537870738605037,11.15822561461021,47.2967032967033,20928.488414231273,,3.017253935266151,764.2394974691684
FEC -> REC,Maintain current aircraft assignment,6,81,1.3805805109450153,5.1569937556761465,39.05174825174825,19072.909615384615,,2.61513290473053,752.7187525505507
PLU -> CNF,Strong review for larger aircraft,3,11,57.21514999015281,68.60309205464904,0.0,20338.0,0.2600515342441508,4.457675853039782,744.161877032416
PVH -> REC,Maintain current aircraft assignment,2,7,2.583829979098491,5.167659958196982,172.0,71520.79166666666,,5.002566991286322,723.7619205953763
CNF -> GIG,Maintain current aircraft assignment,23,1709,18.84005006185721,38.15055601807936,100.24412700533054,45590.751138779895,0.20551297705365054,6.862371211404284,705.3789247604009
REC -> PLU,Maintain current aircraft assignment,4,4,16.65074648302436,50.80922915988535,0.0,17707.5,,2.4582984596205213,703.7651952616253
NVT -> CNF,Current seasonal downgauge appears effective,1,1,20.641713724699954,20.641713724699954,0.0,38334.0,0.1919131794487015,6.95142378559464,697.3170999633836
CNF -> VIX,Maintain current aircraft assignment,23,1752,17.801834306222162,35.980830401556844,93.90727603901405,44642.12963955757,0.21590394784184722,6.609246984113809,673.8864252287839
CNF -> CFB,Current seasonal upgauge appears effective,1,27,30.88108391127261,30.88108391127261,65.28282828282829,23075.40740740741,0.17341022884737725,2.8624790595513834,670.4995649753963
PMW -> CNF,Current seasonal upgauge appears effective,1,25,40.8915058491233,40.8915058491233,129.44,60282.16,0.20634741561703582,5.400600597921317,667.0688714920313
PGZ -> VCP,Maintain current aircraft assignment,15,195,9.214400621174077,25.768370011504942,30.0,19179.88539783803,,2.717545649523956,587.9430344412831
JDO -> REC,Review smaller aircraft,3,34,31.098988264759583,39.99190534399277,39.31060606060606,36102.23076923077,0.2544531045828213,5.529709137241537,587.3794642258747
CNF -> MAO,Review smaller aircraft,1,1,7.231962334481871,7.231962334481871,112.0,73093.0,0.09081583643109536,5.636725412166003,577.980420745677
VCP -> CXJ,Current seasonal downgauge appears effective,1,14,0.22520543813436072,0.22520543813436072,130.14285714285714,58697.78571428572,,6.3123302892074165,573.6347176095871
REC -> FEC,Maintain current aircraft assignment,6,80,1.338668856032086,5.098906078543832,39.05174825174825,20247.322748779,,2.6401575904142023,569.5939875849688
CGH -> VCP,Maintain current aircraft assignment,19,60,26.65569633847761,43.56050945255565,0.18947368421052632,42172.24385964912,0.28971765994466403,7.614018371571479,555.4421593096395
JDO -> VCP,Current seasonal downgauge appears effective,1,14,12.861260034474697,12.861260034474697,110.11904761904762,54792.07142857143,0.21435433390791162,4.4949488106123905,554.220362144323
REC -> PVH,Maintain current aircraft assignment,3,9,17.66443189652934,52.5,163.0,73192.53333333334,,5.054559252074942,516.9233679177266
