Route,Recommendation,Months,TotalFlights,AvgFlightsPctVsMedian,AvgTOWPctVsMedian,AvgPriorityScore
VCP -> PNZ,Current seasonal downgauge appears justified,1,9,-0.47058823529411764,-0.10297190244602587,1.75910850292069
FOR -> VCP,Review smaller aircraft,2,60,-0.4,0.05864797423958848,1.7495550042163333
VCP -> CAW,Maintain current assignment,12,268,-0.06944444444444443,0.0016781679894661771,1.73659251622771
VCP -> OAL,Maintain current assignment,7,30,-0.14285714285714285,0.0021188906689946136,1.7261622799562957
CNF -> BRA,Maintain current assignment,19,448,-0.1267056530214425,-0.003128144921273099,1.7066734724495392
PNZ -> VCP,Review smaller aircraft,1,9,-0.3793103448275862,0.14802547896552837,1.6871461837156985
VCP -> IZA,Maintain current assignment,17,421,-0.11554621848739496,0.005079242443993527,1.6699859783765925
AJU -> VCP,Strong review for smaller aircraft,1,9,-0.5909090909090909,0.09646710747888669,1.6268642676725236
REC -> UDI,Maintain current assignment,15,67,-0.25555555555555554,0.00013446696343242642,1.6251652178251639
CAC -> VCP,Current seasonal downgauge appears justified,1,28,-0.3,-0.09657273172677294,1.6190834457827794
REC -> CWB,Maintain current assignment,4,6,-0.5,0.048678269190514614,1.6146591513044741
NSR -> REC,Review smaller aircraft,1,3,-0.4,0.08299776002168001,1.6101415180109484
FLN -> CNF,Strong review for smaller aircraft,1,14,-0.6216216216216216,0.10810042476376994,1.6035749264134311
CAU -> REC,Maintain current assignment,4,11,-0.08333333333333333,0.0627160369774919,1.6021835811288674
VCP -> BVB,Maintain current assignment,8,19,-0.20833333333333331,0.0031089811128553408,1.5998539901653779
VCP -> GRU,Review smaller aircraft,1,3,-0.25,0.09761009891746847,1.5969275419354103
VCP -> GEL,Maintain current assignment,8,63,-0.21250000000000002,-0.0005787495392972609,1.5888039691458522
GRU -> VCP,Maintain current assignment,8,19,-0.20833333333333331,-0.01916619983337641,1.585084903447415
CNF -> IGU,Maintain current assignment,10,16,-0.2,-0.011191058265733227,1.573288925945216
IZA -> CNF,Maintain current assignment,5,71,-0.053333333333333344,0.00990767636589688,1.5613942085824
VCP -> BSB,Review smaller aircraft,1,56,-0.3333333333333333,0.052049293893871564,1.5438696606808104
AFL -> VCP,Maintain current assignment,7,62,-0.1142857142857143,-0.0070498265066682286,1.5277115841065505
MVD -> CNF,Maintain current assignment,2,2,0.0,0.0,1.4873153147323852
CGH -> VCP,Maintain current assignment,6,15,-0.16666666666666666,-0.027840136027629747,1.4763573897293272
CNF -> JJD,Maintain current assignment,11,47,-0.14545454545454548,-0.018203722455376003,1.4707645594877592
FLN -> CNF,Review smaller aircraft,1,27,-0.2702702702702703,0.08852869323181152,1.4631334806691791
VCP -> CAW,Current seasonal downgauge appears justified,1,4,-0.8333333333333334,-0.057703450252807105,1.3958946613094265
MCZ -> VCP,Review smaller aircraft,2,58,-0.32558139534883723,0.05926185839822934,1.343182202785545
CGH -> VCP,Current seasonal downgauge appears justified,2,3,-0.5,-0.1458285087740026,1.30266875635041
VCP -> CGH,Strong review for smaller aircraft,2,4,-0.5,0.13163907232950456,1.2937136824261095
CNF -> IZA,Maintain current assignment,5,72,-0.04,0.012142953110889495,1.28324741075539
VCP -> GRU,Strong review for smaller aircraft,2,2,-0.75,0.0795338102845157,1.2816808137263256
