Route,ActiveMonths,TotalFlights,AvgFlightsPerMonth,StdFlightsPerMonth,CoeffVarFlights,PeakMonth,PeakFlights,TroughMonth,TroughFlights,PeakMinusTrough,PeakToTroughRatio,SeasonalityIndex,PeakMonthAvgTOW_kg,TroughMonthAvgTOW_kg,PeakMonthTowRegime,TroughMonthTowRegime,PeakMonthRegimeRank,TroughMonthRegimeRank,MaxRegimeRankShift,MinRegimeRankShift,MaxAvgTOW_kg,MinAvgTOW_kg,DeltaAvgTOW_kg,VolatilityScore
VCP -> PPB,23,1148,49.91304347826087,19.214833589382835,0.3849661781844993,2024-04-01,91,2025-02-01,22,69,4.136363636363637,0.32366308135131044,20544.395604395606,44120.77272727273,ATR,E1,0,1,0.0,-1.0,44848.958333333336,20450.850746268658,24398.10758706468,22.533551925199685
LDB -> VCP,23,1343,58.391304347826086,19.907916560427353,0.34093974749801126,2024-06-01,105,2025-11-01,21,84,5.0,0.2717472239308491,21720.02857142857,44678.619047619046,ATR,E1,0,1,2.0,0.0,48634.01960784314,21618.547368421052,27015.472239422088,22.508945135780397
FLN -> VCP,23,2344,101.91304347826087,26.853731087987303,0.26349650811591635,2024-06-01,155,2025-11-01,35,120,4.428571428571429,0.19557797892862444,61921.09032258065,50753.25714285715,A320,E2,3,2,1.0,0.0,61921.09032258065,49218.53333333333,12702.556989247314,22.39904412441679
RAO -> CNF,19,659,34.68421052631579,16.41902821529417,0.4733862459644753,2025-07-01,53,2024-03-01,1,52,53.0,0.36450762718632695,20103.905660377357,15985.0,ATR,Nearest: ATR,0,0,2.0,0.0,57467.5,15985.0,41482.5,22.162148593533036
PPB -> VCP,23,1134,49.30434782608695,18.93337238296602,0.3840101982435789,2024-05-01,88,2025-11-01,21,67,4.190476190476191,0.3214477417375968,20480.875,20396.52380952381,ATR,ATR,0,0,0.0,-1.0,43574.59090909091,19963.6,23610.990909090913,22.110902752498905
GIG -> VCP,23,1494,64.95652173913044,19.625799924698864,0.3021374821071445,2025-08-01,111,2025-11-01,17,94,6.529411764705882,0.23898492520807868,43714.10810810811,47365.05882352941,E1,Nearest: E1,1,1,1.0,0.0,53265.78947368421,40834.2987012987,12431.490772385514,21.413066626655247
QNS -> VCP,6,348,58.0,24.365275838099322,0.4200909627258504,2024-09-01,85,2024-05-01,11,74,7.7272727272727275,0.3390804597701149,65789.02352941176,20262.0,A320,ATR,3,0,0.0,-3.0,67001.5,20262.0,46739.5,21.158819458239442
VCP -> MCZ,23,1006,43.73913043478261,15.77068659778627,0.36056241724561056,2025-01-01,84,2025-11-01,12,72,7.0,0.26657446624600223,65224.57142857143,67312.66666666667,A320,A320,3,3,0.0,0.0,68324.62068965517,61268.03636363636,7056.584326018812,21.155436363638163
CNF -> CFB,15,251,16.733333333333334,10.926827332558869,0.6529976493561076,2025-01-01,36,2025-03-01,2,34,18.0,0.5928286852589641,43298.694444444445,20947.0,E1,ATR,1,0,1.0,0.0,43298.694444444445,19864.0,23434.694444444445,21.053842475877502
CFB -> CNF,15,253,16.866666666666667,10.91095270308184,0.6468944290364727,2025-01-01,36,2025-03-01,2,34,18.0,0.5865612648221346,43905.583333333336,20503.0,E1,ATR,1,0,1.0,0.0,43905.583333333336,19537.14814814815,24368.435185185186,20.886881871768715
CNF -> CPV,21,154,7.333333333333333,6.431568966051703,0.8770321317343232,2024-05-01,23,2025-04-01,1,22,23.0,0.6536796536796534,66476.0,53634.0,A320,E2,3,2,1.0,-1.0,66476.0,47885.0,18591.0,20.74686219232169
VCP -> JOI,23,1483,64.47826086956522,20.412846690721597,0.31658494530451564,2024-10-01,96,2025-11-01,16,80,6.0,0.26468087601512796,21676.833333333332,43560.1875,ATR,E1,0,1,1.0,0.0,47585.4375,21207.072289156626,26378.365210843374,20.67790831186709
CWB -> CNF,23,1179,51.26086956521739,18.233312540522583,0.35569651266498675,2025-10-01,83,2024-01-01,18,65,4.611111111111111,0.29664048382933217,51401.409638554214,52838.27777777778,E2,E2,2,2,0.0,0.0,54309.46153846154,50732.44117647059,3577.0203619909516,20.28413556873263
VCP -> GIG,23,1599,69.52173913043478,19.394910953352397,0.27897620508261733,2025-08-01,115,2025-11-01,22,93,5.2272727272727275,0.22481442205726399,43596.1652173913,48663.045454545456,E1,Nearest: E2,1,2,0.0,-1.0,53352.24742268041,40148.84810126582,13203.399321414588,19.848746983020824
JOI -> VCP,23,1488,64.69565217391305,19.95960002781422,0.3085153230105692,2024-04-01,95,2025-11-01,18,77,5.277777777777778,0.2602851799906498,21788.8,42229.88888888889,ATR,E1,0,1,1.0,0.0,46004.25806451613,20613.488372093023,25390.769692423106,19.778504443173084
BPS -> CNF,23,1819,79.08695652173913,21.76337778186949,0.27518289663716233,2025-07-01,123,2025-11-01,35,88,3.5142857142857142,0.22645027129096254,50391.829268292684,56460.22857142857,E2,Nearest: E2,2,2,1.0,-1.0,62698.015384615384,48110.0,14588.015384615384,19.377849241999016
VCP -> MGF,23,1504,65.3913043478261,18.860446604594593,0.2884243829160077,2025-09-01,100,2025-11-01,17,83,5.882352941176471,0.22808741905642924,24751.93,36313.117647058825,Nearest: ATR,Nearest: E1,0,1,1.0,0.0,43817.431818181816,21994.73076923077,21822.701048951047,19.225482805399942
CNF -> JPA,23,419,18.217391304347824,9.61410432075496,0.5277431966046876,2025-01-01,40,2024-04-01,4,36,10.0,0.41714226419010075,64452.2,52348.75,A320,E2,3,2,0.0,-1.0,70190.33333333333,52348.75,17841.58333333333,19.1262199778164
