Route,Year,Month,MonthStart,Flights,PrimaryAircraft,DistinctAircraft,AvgTOW_kg,MedianTOW_kg,MaxTOW_kg,MinTOW_kg,TotalTOW_kg,FuelBurnKg,AvgFuelBurnKg,AvgDistanceNM,AvgTripTimeSec,AvgFuelPerNM,AvgFuelPerHour,FuelPerFlightKg,TowRegime,TowRegimeRank,RegimeDistanceKg,MedianMonthlyFlights,AvgMonthlyFlights,StdMonthlyFlights,MedianRouteAvgTOW_kg,MedianTowRegimeRank,MedianRouteFuelPerNM,FlightsAboveMedian,FlightsPctVsMedian,AvgTOWAboveMedian_kg,AvgTOWPctVsMedian,RegimeRankShiftVsMedian,FuelPerNMPctVsRouteMedian
REC -> GRU,2025,5,2025-05-01,137,A321,2,76749.53284671533,77856.0,85744,60985,10514686,986139,7198.094890510949,1179.8518248175183,10545.109489051094,6.100091503340173,2459.365517980165,7198.094890510949,A321,4,0.0,138.0,138.69565217391303,26.244366984535407,77800.93650793651,4.0,6.100091503340173,-1.0,-0.007246376811594203,-1051.4036612211785,-0.013514023203485787,0.0,0.0
REC -> GRU,2025,6,2025-06-01,137,A321,2,77041.44525547445,77782.0,84790,64913,10554678,986160,7198.248175182482,1176.456204379562,10503.065693430657,6.118087193876847,2470.536381198646,7198.248175182482,A321,4,0.0,138.0,138.69565217391303,26.244366984535407,77800.93650793651,4.0,6.100091503340173,-1.0,-0.007246376811594203,-759.4912524620595,-0.009761980852050328,0.0,0.0029500689500838316
REC -> GRU,2025,7,2025-07-01,165,A321,2,80077.70909090909,81360.0,84960,66210,13212822,1221544,7403.296969696969,1177.1466666666668,10433.818181818182,6.287954875649797,2555.7151323273742,7403.296969696969,A321,4,0.0,138.0,138.69565217391303,26.244366984535407,77800.93650793651,4.0,6.100091503340173,27.0,0.1956521739130435,2276.7725829725823,0.029264076824323672,0.0,0.03079681218007262
REC -> GRU,2025,8,2025-08-01,159,A321,2,80299.84905660378,81834.0,85705,66036,12767676,1181463,7430.584905660377,1174.4471698113207,10364.528301886792,6.326271179788784,2582.2739947885225,7430.584905660377,A321,4,0.0,138.0,138.69565217391303,26.244366984535407,77800.93650793651,4.0,6.100091503340173,21.0,0.15217391304347827,2498.912548667271,0.03211931193671886,0.0,0.03707807929188666
REC -> GRU,2025,9,2025-09-01,153,A321,2,79458.18954248365,81371.0,85737,62040,12157103,1127357,7368.346405228758,1179.6535947712418,10418.43137254902,6.245148049462297,2548.1126243290664,7368.346405228758,A321,4,0.0,138.0,138.69565217391303,26.244366984535407,77800.93650793651,4.0,6.100091503340173,15.0,0.10869565217391304,1657.253034547146,0.021301196475675955,0.0,0.023779404955269357
REC -> GRU,2025,10,2025-10-01,153,A321,2,80635.00653594772,82154.0,85995,66370,12337156,1147201,7498.045751633987,1185.6941176470589,10421.960784313726,6.321702686835177,2590.990251476853,7498.045751633987,A321,4,0.0,138.0,138.69565217391303,26.244366984535407,77800.93650793651,4.0,6.100091503340173,15.0,0.10869565217391304,2834.070028011207,0.0364271968335767,0.0,0.03632915725504423
REC -> GRU,2025,11,2025-11-01,63,A321,2,77800.93650793651,80320.0,85819,62298,4901459,462633,7343.380952380952,1182.6396825396826,10486.666666666666,6.20746036748683,2521.7781873999043,7343.380952380952,A321,4,0.0,138.0,138.69565217391303,26.244366984535407,77800.93650793651,4.0,6.100091503340173,-75.0,-0.5434782608695652,0.0,0.0,0.0,0.01760118911132162
REC -> GYN,2024,1,2024-01-01,42,A320,1,70209.42857142857,70736.5,71929,62882,2948796,226813,5400.309523809524,1002.5095238095239,8560.0,5.386953645631618,2271.665718153185,5400.309523809524,A320,3,0.0,56.0,57.34782608695652,16.11777306874781,68192.30357142857,3.0,5.3734624682525824,-14.0,-0.25,2017.125,0.02957995102610292,0.0,0.0025107046822683784
REC -> GYN,2024,2,2024-02-01,46,A320,2,68512.26086956522,69473.5,75861,61305,3151564,249920,5433.04347826087,1002.8869565217392,8810.869565217392,5.418683245246806,2221.184580150774,5433.04347826087,A320,3,0.0,56.0,57.34782608695652,16.11777306874781,68192.30357142857,3.0,5.3734624682525824,-10.0,-0.17857142857142858,319.95729813665093,0.004691985478999241,0.0,0.008415575108488428
REC -> GYN,2024,3,2024-03-01,15,A320,1,70093.06666666667,70473.0,71620,67035,1051396,80654,5376.933333333333,1007.7199999999999,8448.0,5.334644146624712,2291.6383417956235,5376.933333333333,A320,3,0.0,56.0,57.34782608695652,16.11777306874781,68192.30357142857,3.0,5.3734624682525824,-41.0,-0.7321428571428571,1900.7630952381005,0.0278735721729525,0.0,-0.007224079791608486
