Route,MonthsObserved,RegimesObserved,FirstRegime,LastRegime,MinAvgTOW,MaxAvgTOW,DeltaTOW
CMG -> VCP,10,3,E1,E2,42612.0,53435.0,10823.0
CNF -> FLN,23,2,E2,Outside Normal Regimes,50202.26666666667,60885.642857142855,10683.376190476185
REC -> UNA,2,2,Outside Normal Regimes,E2,39338.0,49895.0,10557.0
CNF -> GRU,23,2,E2,Outside Normal Regimes,48428.0625,58916.656565656565,10488.594065656565
REC -> IGU,5,2,Outside Normal Regimes,A320,58811.666666666664,69289.0,10477.333333333336
VCP -> BEL,23,3,A320,Outside Normal Regimes,63090.166666666664,73534.97142857143,10444.804761904765
POA -> CNF,19,2,A320,A320,58194.25,68450.1081081081,10255.858108108107
VCP -> PFB,23,2,Outside Normal Regimes,A320,57968.35294117647,68123.65384615384,10155.300904977375
CNF -> CGH,23,3,E1,Outside Normal Regimes,43728.514851485146,53881.55855855856,10153.043707073411
SOD -> VCP,5,2,E1,Outside Normal Regimes,34080.0,44171.0,10091.0
IOS -> CNF,23,3,E2,E1,44123.724137931036,54208.41176470588,10084.687626774845
VCP -> CXJ,23,2,A320,A320,58697.78571428572,68737.94736842105,10040.161654135336
VCP -> CMG,22,3,Outside Normal Regimes,E2,44659.42857142857,54555.75,9896.321428571428
PPB -> REC,6,2,A320,Outside Normal Regimes,57437.0,67302.66666666667,9865.666666666672
VCP -> MAO,23,3,A321,A321,66695.54945054946,76530.95294117647,9835.40349062701
GRU -> CNF,23,2,E2,Outside Normal Regimes,48113.514285714286,57911.26582278481,9797.751537070522
PFB -> VCP,23,2,Outside Normal Regimes,A320,55737.09523809524,65522.782608695656,9785.687370600419
VCP -> VIX,23,2,Outside Normal Regimes,A320,56455.64102564102,66217.43529411765,9761.794268476624
VCP -> CGR,23,3,Outside Normal Regimes,Outside Normal Regimes,52072.34848484849,61648.81081081081,9576.462325962326
REC -> GRU,23,2,A321,A321,71799.82608695653,81228.26086956522,9428.434782608689
AJU -> REC,23,2,ATR,ATR,20104.23404255319,29518.462686567163,9414.228644013972
FOR -> VCP,23,3,A321,A320,68423.47619047618,77798.26923076923,9374.79304029305
